year,state,division_id,division,candidate_id,surname,given_name,ballot_position,party_ab,party_name,votes,total_formal_votes,vote_share,party_std,is_major,is_independent,division_link,above_threshold,running_var,funding_rate,funding_amount,n_candidates,next_vote_share,next_votes,next_total_formal_votes,contests_next,next_vote_share_uncond,vote_share_change,election_pair,next_year,lagged_vote_share
2004,ACT,101,Canberra,15421,ELLERMAN,Sue,1,GRN,The Greens,10243.0,100678.0,0.1017402014342756,GRN,True,False,Canberra,1,0.0617402014342756,1.94,19871.42,5,0.1294853830689027,14878.0,114901.0,1,0.1294853830689027,0.027745181634627095,2004-2007,2007,
2004,ACT,101,Canberra,15166,BARNIER,Belinda,2,LP,Liberal,37238.0,100678.0,0.369872266036274,LP,True,False,Canberra,1,0.329872266036274,1.94,72241.72,5,0.3512502066996806,40359.0,114901.0,1,0.3512502066996806,-0.01862205933659339,2004-2007,2007,
2004,ACT,101,Canberra,14298,ARNOLD,Jim,3,CEC,Citizens Electoral Council,765.0,100678.0,0.0075984822900733,CEC,False,False,Canberra,0,-0.0324015177099267,1.94,0.0,5,0.0082940966571222,953.0,114901.0,1,0.0082940966571222,0.0006956143670488997,2004-2007,2007,
2004,ACT,101,Canberra,15360,ELLIS,Annette,4,ALP,Australian Labor Party (ACT Branch),50214.0,100678.0,0.4987584179264586,ALP,True,False,Canberra,1,0.4587584179264586,1.94,97415.16,5,0.5109703135742943,58711.0,114901.0,1,0.5109703135742943,0.012211895647835758,2004-2007,2007,
2004,ACT,101,Canberra,15158,MATTHEWS,Aaron,5,DEM,Australian Democrats,2218.0,100678.0,0.0220306323129184,DEM,False,False,Canberra,0,-0.0179693676870816,1.94,0.0,5,,,,0,0.0,,2004-2007,2007,
2004,ACT,102,Fraser,14756,VASSILOPOULOS,James,1,SAL,Socialist Alliance,2067.0,107948.0,0.019148108348464,SAL,False,False,Fraser,0,-0.020851891651536,1.94,0.0,5,0.0049595141700404,539.0,108680.0,1,0.0049595141700404,-0.014188594178423601,2004-2007,2007,
2004,ACT,102,Fraser,15359,McMULLAN,Bob,2,ALP,Australian Labor Party (ACT Branch),54622.0,107948.0,0.5060028902805054,ALP,True,False,Fraser,1,0.4660028902805054,1.94,105966.68,5,0.5109771807140229,55533.0,108680.0,1,0.5109771807140229,0.004974290433517492,2004-2007,2007,
2004,ACT,102,Fraser,15143,GILES,Adam,3,LP,Liberal,36270.0,107948.0,0.3359951087560677,LP,True,False,Fraser,1,0.2959951087560677,1.94,70363.8,5,0.3122561648877438,33936.0,108680.0,1,0.3122561648877438,-0.02373894386832387,2004-2007,2007,
2004,ACT,102,Fraser,15137,GRIMSEY,Lynne,4,DEM,Australian Democrats,2792.0,107948.0,0.0258643050357579,DEM,False,False,Fraser,0,-0.0141356949642421,1.94,0.0,5,0.0230861244019138,2509.0,108680.0,1,0.0230861244019138,-0.0027781806338441004,2004-2007,2007,
2004,ACT,102,Fraser,15425,TURBAYNE,David,5,GRN,The Greens,12197.0,107948.0,0.1129895875792048,GRN,True,False,Fraser,1,0.07298958757920479,1.94,23662.18,5,0.1338424733161575,14546.0,108680.0,1,0.1338424733161575,0.02085288573695271,2004-2007,2007,
